coffee name,coffee rating,roaster name,roaster country/state,roaster city,coffee origin country,coffee origin city,roast level,whole bean (agtron),after grinding (agtron),price,pricing unit (g),review date,aroma,acidity,body,flavor,aftertaste,blind ass (paragraph),species (paragraph)
Ethiopia Kayon Mountain,94,Roadmap CoffeeWorks,Virginia,['Lexington'],['southern Ethiopia'],"['Odo Shakiso District', ' Guji Zone']",Light,64.0,82.0,20.95,340.19,February 2023,9.0,9.0,9.0,9.0,8.0,"Complex, multi-layered. Cocoa nib, Meyer lemon marmalade, magnolia, hazelnut, maple syrup in aroma and cup. Brightly sweet structure with high-toned acidity; very satiny, smooth mouthfeel. Crisp finish that leads with notes of Meyer lemon and cocoa nib.","Produced by the Hassen family at their estate farm in the Guji Zone of southern Ethiopia from distinctive landrace selections of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Certified USDA organic. Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information. "
Panama Finca Las Nubes Geisha Microlot,94,Vermont Artisan Coffee & Tea,Vermont,['Waterbury Center'],['Panama'],['Boquete growing region'],Medium-Light,60.0,77.0,15.0,226.8,February 2023,9.0,9.0,9.0,9.0,8.0,"Balanced, delicately sweet-tart. Dark chocolate, magnolia, goji berry, almond brittle, blood orange in aroma and cup. Sweetly tart structure with vibrant acidity; crisp, silky-smooth mouthfeel. The pleasing finish centers around notes of dark chocolate and goji berry.","Produced by Austin Gomez of Finca Las Nubes entirely of the Geisha variety of Arabica, and processed by the natural method (dried in the whole fruit). Vermont Artisan Coffee & Tea provides craft-roasted coffees and quality teas to retail establishments, food service markets, and retail customers throughout New England and beyond. For more information, visit www.vtartisan.com."
Guatemala El Milagro Bourbon Especial,95,PT's Coffee Roasting Co.,Kansas,['Topeka'],['Guatemala'],['Huehuetenango'],Medium-Light,60.0,78.0,28.0,340.19,January 2023,9.0,9.0,9.0,9.0,9.0,"High-toned, chocolaty and richly aromatic. Malted chocolate, black cherry, cashew butter, pink grapefruit, toffee in aroma and cup. Brightly sweet structure with lively but restrained acidity; plush, creamy mouthfeel. The integrated finish carries over all the aroma and flavor notes from the cup.","Produced by Juan Villatoro of Finca El Milagro, entirely of the Bourbon variety of Arabica, and processed by the traditional washed method (fruit skin and pulp are removed before drying). Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-JAVA for more information."
Costa Rica William Mora,94,Press Coffee,Arizona,['Phoenix'],['Costa Rica'],['Tarrazu growing region'],Light,65.0,84.0,28.0,340.19,January 2023,9.0,9.0,9.0,9.0,8.0,"Sweetly tart, richly fruit-toned. Raspberry, Meyer lemon zest, dark chocolate, cedar, pink peppercorn in aroma and cup. Tart-leaning structure with juicy acidity; very full, satiny-smooth mouthfeel. The finish centers around dark chocolate and raspberry.","Produced by William Morra entirely of the Caturra variety of Arabica, and processed by the natural method (dried in the whole fruit). Based in Phoenix, Arizona, Press Coffee roasts in small batches to ensure the highest quality and consistency, while sharing their knowledge and passion for coffee with customers. Visit www.presscoffee.com for more information."
Ethiopia Duromina Agaro Gera,94,Northbound Coffee Roasters,California,['Mount Shasta'],['Ethiopia'],"['Agaro Gera', ' Jimma Zone', ' Oromia State']",Light,62.0,81.0,17.0,340.19,January 2023,9.0,9.0,9.0,9.0,8.0,"Brightly sweet, quite vibrant. Pink grapefruit, cocoa nib, apricot, bay leaf, maple syrup in aroma and cup. Sweetly tart structure with juicy acidity; very silky, lively mouthfeel. The finish centers around notes of cocoa nib and sweet grapefruit.","Southern Ethiopia coffees like this one are produced largely from local, indigenous varieties of Arabica. Produced by smallholding farmers under the direction of Kata Muduga and processed by the traditional washed method (fruit skin and pulp are removed before drying). Founded in 2011 by Keith Hamrick and Jen Lovrak, Northbound Coffee Roasters is a family-owned and -operated roastery in Mount Shasta, California. Visit northboundcoffee.com for more information."
Winter 2022 Allocation Colombia,94,Press Coffee,Arizona,['Phoenix'],['Colombia'],['Quindio Department'],Light,62.0,80.0,50.0,170.1,January 2023,9.0,9.0,9.0,9.0,8.0,"Deeply aromatic, fruit-centered. Dried black cherry, cocoa nib, narcissus, thyme, a hint of wine barrel in aroma and cup. Brightly sweet structure with high-toned acidity; crisp, syrupy mouthfeel. The finish leads with notes of cocoa nib and narcissus."," Produced by Jose Giraldo entirely of the Ethiopia-seed Wush Wush variety of Arabica, and processed by the washed carbonic maceration method, in which the coffee fruit is first pulped then fermented in CO2-infused tanks before drying. Based in Phoenix, Arizona, Press Coffee roasts in small batches to ensure the highest quality and consistency, while sharing their knowledge and passion for coffee with customers. Visit www.presscoffee.com for more information."
Laura’s Reserve SL34,96,Hula Daddy Kona Coffee,Hawai’i,['Holualoa'],['Hawaii'],"['Holualoa', ' North Kona growing district']",Medium-Light,60.0,80.0,69.95,226.8,January 2023,9.0,9.0,9.0,10.0,9.0,"Bright, balanced, juicy-sweet. Red plum, cocoa nib, blood orange, star jasmine, lemon verbena in aroma and cup. Richly sweet structure with vibrant acidity; very full, syrupy mouthfeel. The finish is long, lingering and flavor-saturated.","SL28 and SL34 are varieties famous for producing the great classic coffees of Kenya. Hula Daddy is a boutique coffee producer with farms at the 1,400- and 2,500-foot levels of the Mount Hualalai volcano near the northern end of the Kona growing district, five minutes above the town of Kailua-Kona. This SL34 coffee was produced at the higher elevation Hula Daddy farm and processed anaerobically using commercial yeast. Visit www.huladaddy.com or call 808-327-9744 for more information."
El Salvador 2022 COE#17 El Mirador Washed Gesha,96,Kakalove Cafe,Taiwan,['Chia-Yi'],['El Salvador'],['Apaneca-Ilamatepec'],Medium-Light,58.0,78.0,16.5,113.4,January 2023,9.0,9.0,9.0,9.0,10.0,"Floral-toned, mult-layered, balanced. Narcissus, dark chocolate, pomegranate, frankincense, in aroma and small cup. Very syrupy-smooth mouthfeel; rich, harmonious, elongated finish. Exceptionally complex in three parts milk, where narcissus and dark chocolate notes commingle with pomegranate and frankincense.","Evaluated as espresso. Produced by Finca El Mirador, entirely of the Gesha variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information."
Panama ABU Washed Gesha Lot GW57,95,Kakalove Cafe,Taiwan,['Chia-Yi'],['western Panama'],"['Cañas Verdes', ' Boquete growing region']",Light,64.0,84.0,33.0,113.4,January 2023,9.0,9.0,9.0,9.0,9.0,"Lushly floral-toned. Vanilla orchid, ginger blossom, cocoa nib, pluot, pink grapefruit zest in aroma and cup. Elegantly sweet structure with juicy, balanced acidity; very syrupy mouthfeel. The long, resonant, flavor-laden finish carries over all the aroma and flavor notes from the cup.","Produced by Josel Luttrell of Abu Coffee Plantations entirely of the Geisha variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information."
Guatemala Natural El General Bistro Lot Espresso,94,Kakalove Cafe,Taiwan,['Chia-Yi'],['Guatemala'],"['Acatenango', ' Chimaltenango']",Medium-Light,58.0,76.0,9.57,226.8,January 2023,9.0,9.0,9.0,8.0,9.0,"Sweetly tart, fruit-driven and floral. Tangerine zest, tamarind, chocolate fudge, agave syrup, sandalwood in aroma and small cup. Plush, syrupy mouthfeel; chocolaty, tart-fruit finish. Bright, balanced and juicy in cappuccino-scaled milk. ","Evaluated as espresso. A blend of Catuai and Bourbon varieties of Arabica produced by Finca El General in Acatenango, Guatemala and processed by the natural method (dried in the whole fruit). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information."
Ethiopia 2022 COE#25 Natural Tadesse 74112,94,Kakalove Cafe,Taiwan,['Chia-Yi'],['southern Ethiopia'],"['Gedeo Zone', ' SNNPR']",Light,65.0,84.0,14.85,113.4,January 2023,9.0,9.0,9.0,9.0,8.0,"Richly fruit-centered, deeply chocolaty. Dried mango, dark chocolate, wisteria, cedar, lemon thyme in aroma and cup in aroma and cup. Sweetly tart structure with winy acidity; plush, syrupy mouthfeel. The deep-toned finish consolidates to notes of dried mango, dark chocolate and cedar.","Produced by Tadesse Teko Teero, entirely from the 74112 variety of Arabica, and processed by the natural method (dried in the whole fruit). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information."
Ethiopia Washed Sidama Rumudamo,94,Kakalove Cafe,Taiwan,['Chia-Yi'],['south-central Ethiopia'],"['Arbegona', ' Sidamo growing region']",Light,64.0,86.0,12.87,226.8,January 2023,9.0,9.0,9.0,9.0,8.0,"Brightly sweet-tart, fruit-toned. Apricot, dark chocolate, pistachio butter, bay leaf, blood orange in aroma and cup. High-toned and sweet with juicy acidity; viscous, satiny-smooth mouthfeel. Resonant, flavor-laden finish consolidates to dark chocolate and pistachio notes.","Produced by smallholding farmers, from trees of local heirloom varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp are removed before drying). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information."
Lemon Sugar Wash,95,Green Stone Coffee,Taiwan,['Taipei'],['south-central Ethiopia'],['Sidamo growing region'],Medium-Light,59.0,77.0,18.15,225,January 2023,9.0,9.0,9.0,9.0,9.0,"Richly aromatic; complex. Cocoa nib, Meyer lemon curd, almond blossom, thyme, maple syrup in aroma and cup. Delicately sweet-tart structure with vibrant floral acidity; lively, silky-smooth mouthfeel. Harmonious, balanced finish that lingers long.","Produced by smallholding farmers, entirely of the 74112 variety of Arabica, and processed by the traditional washed method (fruit skin and pulp are removed before drying). Green Stone Coffee is a woman-owned artisan roastery in Taipei, Taiwan founded in 2016 and specializing in sourcing distinctive coffees that express their individual terroirs. Visit www.greenstone-coffee.com.tw for more information. "
Kenya Kiambu AA,95,JH Roaster,Taiwan,['Taipei'],['south-central Kenya'],['Kiambu growing region'],Medium-Light,60.0,76.0,21.45,225,January 2023,9.0,9.0,9.0,9.0,9.0,"Juicy-bright, multi-layered. Red currant, salted caramel, blood orange, star jasmine, cedar in aroma and cup. Sweetly tart with richly vibrant, balanced acidity; very full, syrupy-smooth mouthfeel. The complexity of the cup carries through in the long, juicy finish.","Produced by the Kariruki family, from trees of the SL28 and SL34 varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp are removed before drying). JH Roaster is Janice Hsu’s specialty nano-roastery based in Taipei. Visit https://instagram.com/jan___hsu?igshid=MWI4MTIyMDE= for more information."
Colombia Geisha Allium,94,Nostalgia Coffee Roasters,California,['San Diego'],['Colombia'],['Valle de Cauca Department'],Light,62.0,84.0,65.0,226.8,January 2023,9.0,9.0,9.0,9.0,8.0,"Vibrantly floral- and fruit-forward. Narcissus, Concord grape, dark chocolate, sandalwood, blood orange in aroma and cup. Sweet-tart structure with winey acidity; plush, creamy mouthfeel. Focused finish led by Concord grape and darl chocolate notes, supported by sandalwood.","Produced by Rigoberto Herrera of Granja La Esperanza, entirely of the Geisha variety of Arabica, and processed by a hybrid washed method in which the coffee cherries are fermented whole for 48 hours in anaerobic tanks, then de-pulped and fermented again for another 96 hours. Following the second fermentation, the coffee is dried mechanically for 72 hours. Nostalgia Coffee Roasters is a woman-owned specialty coffee roaster founded by Taylor Fields in 2018 as a mobile café. Nostalgia is now focused on bringing exceptional coffee to folks around the world via its online store and wholesale program. Visit www.nostalgiacoffeeroasters.com for more information."
Wilton Benitez Orange Bourbon,96,JBC Coffee Roasters,Wisconsin,['Madison'],['Colombia'],"['Piendamó', ' Cauca Department']",Light,60.0,82.0,19.0,226.8,January 2023,9.0,9.0,10.0,10.0,8.0,"Richly spice-toned, citrusy-sweet. Ginger blossom, dried persimmon, Concord grape, rice candy, a hint of fennel in aroma and cup. Brightly sweet structure with juicy, vibrant acidity; lushly vibrant, creamy mouthfeel. The finish quiets to pretty notes of ginger and persimmon.","Produced by Wilton Benitez entirely of the Orange Bourbon variety of Arabica. Processed by a complex double fermentation method, in which ​​the coffee fruit is first sterilized, then fermented anaerobically in the whole fruit in a bio-reactor with added microorganisms. After this fermentation in the whole fruit, the coffee is pulped and subjected to a second fermentation, after which the beans are sealed through the impact of hot and cold water before washing and careful drying by machine for 36 hours. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information"
Kayon Mountain Ethiopia,94,JBC Coffee Roasters,Wisconsin,['Madison'],['southern Ethiopia'],"['Odo Shakiso District', ' Guji Zone']",Medium-Light,58.0,78.0,18.0,340.19,January 2023,9.0,9.0,9.0,9.0,8.0,"Delicate, richly aromatic. Lychee, saffron, blood orange, almond, cocoa nib in aroma and cup. Brightly sweet structure with vibrant acidity; crisp, silky-smooth mouthfeel. The resonant finish centers around lychee and cocoa nib.","Produced by the Hassen family at their estate farm in the Guji Zone from distinctive selections of landrace varieties of Arabica long grown in the region, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried).  JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information"
Ethiopia Kochere Arefasa Washed G1,94,Desolate Cafe,Taiwan,['Nantou'],['southern Ethiopia'],['Yirgacheffe growing region'],Light,62.0,80.0,16.5,227,January 2023,9.0,9.0,9.0,9.0,8.0,"Delicate, sweetly fruit-toned. Dark chocolate, bergamot, narcissus, black tea, sandalwood in aroma and cup. Sweet-tart structure with juicy, citrusy acidity; plush, syrupy mouthfeel. The rich finish is redolent of bergamot and narcissus well into the long.","Southern Ethiopia coffees like this one are produced from selections of traditional, largely indigenous varieties of Arabica long grown in the region. This lot was processed by the wet or washed method (fruit skin and pulp are removed before drying). Ethiopia coffees processed with this method typically express great aromatic complexity and intensity, with a particular emphasis on floral notes. Desolate Café is a specialty roaster in Nantou, Taiwan. The shop offers coffee, homemade desserts, and other foods. For more information, visit www.desolatecoffee.com."
Colombia Granja Paraíso Java P14,95,Paradise Roasters,Minnesota,['Minneapolis'],['Colombia'],['Cauca Department'],Light,64.0,82.0,50.0,113.4,December 2022,9.0,9.0,9.0,9.0,9.0,"Sweetly citrusy, richly chocolaty. Candied kumquat, dark chocolate, vanilla yogurt, honeysuckle, lemon balm in aroma and cup. Brightly sweet-tart with juicy, high-toned acidity; creamy-smooth mouthfeel. Resonant, long, flavor-laden finish.","Produced by Wilton Benitez of Finca El Paraíso entirely of the Java variety of Arabica, and processed by a complex double-anaerobic washed method, in which ​​the coffee fruit is first sterilized, then fermented in the whole fruit in a bio-reactor and inoculated with Saccromyces cervesiae var. Diastaticus. (Strains from this yeast variety are commonly used in producing Saison style beers.) After this fermentation in the whole fruit, the coffee is pulped and subjected to a second fermentation phase, after which the beans are sealed through the impact of hot and cold water before drying by machine for 46 hours at 38C (100F). Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information."
El Salvador Finca El Retiro Sudan Rume Natural,94,Interpretation Coffee,Taiwan,['Chia-Yi'],['El Salvador'],['Apaneca-Ilamatepec growing region'],Medium-Light,62.0,78.0,16.0,230,December 2022,9.0,9.0,9.0,9.0,8.0,"Complex, multi-layered. Black cherry, candy cap mushroom, tangerine zest, sandalwood, maple syrup in aroma and cup. Sweet-savory structure with richly bright acidity; full, syrupy-smooth mouthfeel. The long finish centers around notes of black cherry and candy cap mushroom.","Produced at Finca El Retiro entirely of the Sudan Rume variety of Arabica, and processed by the natural method (dried in the whole fruit). Interpretation Coffee is a Taiwan-based nano-roaster that specializes in microlot coffees. Visit www.interpretationcoffee.com for more information."
Ethiopia Hayissa Olocho Lot 6,94,PERC Coffee Roasters,Georgia,['Savannah'],['Ethiopia'],['Sidamo growing region'],Light,61.0,82.0,27.0,283.5,December 2022,9.0,9.0,9.0,9.0,8.0,"Delicate, multi-layered. Narcissus, bergamot, cocoa nib, cedar, marjoram in aroma and cup. Richly sweet structure with bright, balanced acidity; plush, silky mouthfeel. Floral finish with ballast from cocoa nib.","Produced by smallholding farmers surrounding the Keramo Daye Bensa Washing Station owned by brothers Asefa and Mulugeta Dukamo from the 74110 and 74158 varieties of Arabica, and processed by the natural method (dried in the whole fruit). Founded in Savannah Georgia, PERC Coffee Roasters has a total of three cafes in Savannah and Atlanta, as well as a coffee education and training center. Visit www.perccoffee.com for more information."
Nyeri Hill Kenya,94,JBC Coffee Roasters,Wisconsin,['Madison'],['south-central Kenya'],['Nyeri growing region'],Medium-Light,58.0,80.0,22.0,340.19,December 2022,9.0,9.0,9.0,9.0,8.0,"Complex, deeply engaging. Bing cherry, pomelo, salted caramel, lemon balm, cedar in aroma and cup. Brightly sweet-tart with vivacious acidity; plush, syrupy mouthfeel. The resonant finish consolidates around notes of cherry and bittersweet citrus.","Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information."
Ethiopia COE #8 Sidama Arbegona Muluneh Tute Galcho 74158 Natural,95,Small Eyes Cafe,Taiwan,['Yilan'],['southern Ethiopia'],['Sidamo growing region'],Light,63.0,82.0,56.1,200,December 2022,9.0,9.0,9.0,9.0,9.0,"Delicately fruit-toned, richly sweet. Dried peach, narcissus, almond butter, marjoram, honey in aroma and cup. Brightly sweet with juicy acidity; full, syrupy mouthfeel. The harmonious finish carries forward all the notes from the aroma and cup.","Produced by smallholding farmers, entirely of the indigenous Ethiopian 74158 variety of Arabica, and processed by the natural method (dried in the whole fruit). Small Eyes Café is a small, family-owned coffee shop in Yilan, Taiwan, specializing in artisanally roasted specialty coffee and homemade desserts. Visit www.facebook.com/Smalleyescafe for more information."
Chelbessa Ethiopia,94,JBC Coffee Roasters,Wisconsin,['Madison'],['southern Ethiopia'],['Yirgacheffe growing region'],Medium-Light,60.0,78.0,20.0,340.19,December 2022,9.0,9.0,9.0,9.0,8.0,"Delicately fruit-toned, crisply sweet. Strawberry, cocoa nib, lemon verbena, hazelnut, freesia-like flowers in aroma and cup. Sweet structure with gently bright acidity; full, satiny-smooth mouthfeel. Cocoa and almond dominate the finish with undertones of strawberry. ",Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees largely from indigenous landrace varieties of Arabica long grown in the region. This example is processed by the traditional washed method (fruit skin and flesh are removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.
